job_position,rank,file_stem,file_name,relative_path,content_hash,word_count,seed_used
BPO resumes,0,Image_29,Image_29.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_29.txt,4d97037eb37f25dcbcf3e884ab01042911de2ccd570df712d1a840ddb3f090b6,178,20260730
BPO resumes,1,Image_80,Image_80.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_80.txt,f05affc10f5fe5c54b6d2fe2a9153052eb2bd552cf540e2ae38802ac6e858d1b,221,20260730
BPO resumes,2,Image_53,Image_53.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_53.txt,d472e49d66eb9bcd94544a038dd90aaab4ba32681652b3a4729616fa9f304ec1,161,20260730
BPO resumes,3,Image_70,Image_70.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_70.txt,41a4f4a860c1e71bf0c2ab449c62d953b6ec6ad8ed113eb016f4112dc252db37,269,20260730
BPO resumes,4,Image_68,Image_68.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_68.txt,91e2ad1d85033e32838c28b91c42c8b0101ae2ebda61efdbc9fa9be5be08d483,142,20260730
BPO resumes,5,Image_36,Image_36.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_36.txt,d699354c671a8b2c62159f62751790261462695e2d45f58c283e7d504ff10709,207,20260730
BPO resumes,6,Image_76,Image_76.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_76.txt,6c4523753f9517d7160fc175325c9ba4aef0301cb3b65817818f0d3a09897f23,259,20260730
BPO resumes,7,Image_24,Image_24.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_24.txt,5882f34b070ad0c9fe04f3a8412ba39270e9231cdb5fa05689f2385a22938e97,142,20260730
BPO resumes,8,Image_26,Image_26.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_26.txt,3ecaabc1f5662f180d30c2800f36c4a977ee184decd97b42390dcb5d74693f59,408,20260730
BPO resumes,9,Image_65,Image_65.txt,2-Processing\Resumes\Cleaned Resumes TXT\BPO resumes\Image_65.txt,b86cbc4f08da7a79f70cb2121af76439b958a0ca4f28bcf101e1568d3f241b39,371,20260730
