job_position,file_name,file_stem,relative_path,size_bytes,word_count,content_hash,decode_ok,eligible,ineligible_reason,is_duplicate,duplicate_of
Accountant,0.txt,0,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\0.txt,2601,332,e8c370e325e3d7c8148989d675afc7411ddb64bd5a0e4097e23dc5438e58caf3,True,True,,False,
Accountant,0287439839da10d2.txt,0287439839da10d2,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\0287439839da10d2.txt,1226,176,c6cb7dd9e021fe01f26d5287a3f3e7bb597a274ed7affb71efe10c51286d507d,True,True,,False,
Accountant,028cd00be9bb156d.txt,028cd00be9bb156d,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\028cd00be9bb156d.txt,1297,156,bf6bb8732f8775c96c71a51cbc31f018bb2bfd50bd4bf2befcabb58588a7e864,True,True,,False,
Accountant,0452d98376727179.txt,0452d98376727179,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\0452d98376727179.txt,638,79,e143c6ab57dc3b837b514ea3f9339264156bec10d09330558fc78db70c7178bb,True,True,,False,
Accountant,0857decaec1c1f99.txt,0857decaec1c1f99,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\0857decaec1c1f99.txt,1972,256,16c63c8ba367e23105b81db4dd1a95bab375da61c7b9ef14f48cb40a71930623,True,True,,False,
Accountant,0dc1822617b26a90.txt,0dc1822617b26a90,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\0dc1822617b26a90.txt,1855,270,9fbe4e720fbc490452c7d576524dd646edefdefed6c00db91636df9706dea66e,True,True,,False,
Accountant,0e00826ebf4625da.txt,0e00826ebf4625da,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\0e00826ebf4625da.txt,1389,196,1a5ee50ba77271b78c762e2a7086603fc867ee7b6395af672217a1a4e8905973,True,True,,False,
Accountant,0e30209bf7aa198a.txt,0e30209bf7aa198a,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\0e30209bf7aa198a.txt,3070,393,218f354b0e9ee3ad5f294dec16909f20b1e8aa8a809d644d44609e7352f633d8,True,True,,False,
Accountant,1.txt,1,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\1.txt,5941,733,644c4e5a89f9da134d92a1d5900ce22ea0bec86d17de7d2341d4ef0876279330,True,True,,False,
Accountant,10.txt,10,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\10.txt,5463,650,efbe29d28a43540257a79ef0a007f1d324165d7694976e0fabe5289ef05148c0,True,True,,False,
Accountant,100.txt,100,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\100.txt,6344,822,496e03f009da602fbae09abe289b080193f335af06c3b3b55e6d7e2a88d18d8e,True,True,,False,
Accountant,101.txt,101,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\101.txt,5994,761,4662aae8b17d68c246efcdf7b720bf1d9b38aa5926c286a8dd43ddb6b95b1904,True,True,,False,
Accountant,102.txt,102,2-Processing\Resumes\Cleaned Resumes TXT\Accountant\102.txt,6168,765,82c5659407482f92451446c4b82e7f5de5f5cb54da09751a877f1e33ae15265b,True,True,,False,
